Ref Des,Manufacturer,Part Number,Description,DNP,QAF,Currency,Lead Time
C421,Murata,GCM188R72A223KA37*,"CAP CE,22nF,10%,100V,X7R,0603,GCM188R72A223KA37*,MUR",,1.0. Basis Connector,EUR,
C936,Samwha,CQ1608X7R472K500N*B,"CAP CE,4.7nF,10%,50V,X7R,0603,CQ1608X7R472K500N*B,SAMWH",DNP,1.0. Basis Connector,EUR,
C937,Samwha,CQ1608X7R472K500N*B,"CAP CE,4.7nF,10%,50V,X7R,0603,CQ1608X7R472K500N*B,SAMWH",DNP,1.0. Basis Connector,EUR,
C939,Samsung,CL31B475KBHVPJ*,"CAP CE ST,4.7uF,10%,50V,X7R,1206,CL31B475KBHVPJ*,SMSNG",DNP,1.0. Basis Connector,EUR,
C940,Samsung,CL31B475KBHVPJ*,"CAP CE ST,4.7uF,10%,50V,X7R,1206,CL31B475KBHVPJ*,SMSNG",DNP,1.0. Basis Connector,EUR,
C1065,Murata,GCM188R72A223KA37*,"CAP CE,22nF,10%,100V,X7R,0603,GCM188R72A223KA37*,MUR",,1.0. Basis Connector,EUR,
C1066,Murata,GCM188R72A223KA37*,"CAP CE,22nF,10%,100V,X7R,0603,GCM188R72A223KA37*,MUR",,1.0. Basis Connector,EUR,
C1067,Murata,GCM188R72A223KA37*,"CAP CE,22nF,10%,100V,X7R,0603,GCM188R72A223KA37*,MUR",,1.0. Basis Connector,EUR,
C1068,Murata,GCM188R72A223KA37*,"CAP CE,22nF,10%,100V,X7R,0603,GCM188R72A223KA37*,MUR",,1.0. Basis Connector,EUR,
C1069,Murata,GCM188R72A223KA37*,"CAP CE,22nF,10%,100V,X7R,0603,GCM188R72A223KA37*,MUR",,1.0. Basis Connector,EUR,
C1070,Murata,GCM188R72A223KA37*,"CAP CE,22nF,10%,100V,X7R,0603,GCM188R72A223KA37*,MUR",,1.0. Basis Connector,EUR,
C1071,Murata,GCM188R72A223KA37*,"CAP CE,22nF,10%,100V,X7R,0603,GCM188R72A223KA37*,MUR",,1.0. Basis Connector,EUR,
C1072,Murata,GCM188R72A223KA37*,"CAP CE,22nF,10%,100V,X7R,0603,GCM188R72A223KA37*,MUR",,1.0. Basis Connector,EUR,
C1073,Murata,GCM188R72A223KA37*,"CAP CE,22nF,10%,100V,X7R,0603,GCM188R72A223KA37*,MUR",,1.0. Basis Connector,EUR,
C1074,Murata,GCM188R72A223KA37*,"CAP CE,22nF,10%,100V,X7R,0603,GCM188R72A223KA37*,MUR",,1.0. Basis Connector,EUR,
C1324,Kemet,C0603C472K1RAC3***,"CAP CE,4.7nF,10%,100V,X7R,0603,C0603C472K1RAC3***,KEMET",DNP,1.0. Basis Connector,USD,
C1496,Samsung,CL31B475KBHVPJ*,"CAP CE ST,4.7uF,10%,50V,X7R,1206,CL31B475KBHVPJ*,SMSNG",DNP,1.0. Basis Connector,EUR,
C1497,Samsung,CL31B475KBHVPJ*,"CAP CE ST,4.7uF,10%,50V,X7R,1206,CL31B475KBHVPJ*,SMSNG",DNP,1.0. Basis Connector,EUR,
C1498,Samsung,CL31B475KBHVPJ*,"CAP CE ST,4.7uF,10%,50V,X7R,1206,CL31B475KBHVPJ*,SMSNG",DNP,1.0. Basis Connector,EUR,
C1499,Samsung,CL31B475KBHVPJ*,"CAP CE ST,4.7uF,10%,50V,X7R,1206,CL31B475KBHVPJ*,SMSNG",DNP,1.0. Basis Connector,EUR,
C1500,Samsung,CL31B475KBHVPJ*,"CAP CE ST,4.7uF,10%,50V,X7R,1206,CL31B475KBHVPJ*,SMSNG",DNP,1.0. Basis Connector,EUR,
C1501,Samsung,CL31B475KBHVPJ*,"CAP CE ST,4.7uF,10%,50V,X7R,1206,CL31B475KBHVPJ*,SMSNG",DNP,1.0. Basis Connector,EUR,
C1502,Samsung,CL31B475KBHVPJ*,"CAP CE ST,4.7uF,10%,50V,X7R,1206,CL31B475KBHVPJ*,SMSNG",DNP,1.0. Basis Connector,EUR,
C1503,Samsung,CL31B475KBHVPJ*,"CAP CE ST,4.7uF,10%,50V,X7R,1206,CL31B475KBHVPJ*,SMSNG",DNP,1.0. Basis Connector,EUR,
C1504,Samsung,CL31B475KBHVPJ*,"CAP CE ST,4.7uF,10%,50V,X7R,1206,CL31B475KBHVPJ*,SMSNG",DNP,1.0. Basis Connector,EUR,
C1505,Samsung,CL31B475KBHVPJ*,"CAP CE ST,4.7uF,10%,50V,X7R,1206,CL31B475KBHVPJ*,SMSNG",DNP,1.0. Basis Connector,EUR,
C1506,Samsung,CL31B475KBHVPJ*,"CAP CE ST,4.7uF,10%,50V,X7R,1206,CL31B475KBHVPJ*,SMSNG",DNP,1.0. Basis Connector,EUR,
C1507,Samsung,CL31B475KBHVPJ*,"CAP CE ST,4.7uF,10%,50V,X7R,1206,CL31B475KBHVPJ*,SMSNG",DNP,1.0. Basis Connector,EUR,
C1508,Samsung,CL31B475KBHVPJ*,"CAP CE ST,4.7uF,10%,50V,X7R,1206,CL31B475KBHVPJ*,SMSNG",DNP,1.0. Basis Connector,EUR,
C1509,Samsung,CL31B475KBHVPJ*,"CAP CE ST,4.7uF,10%,50V,X7R,1206,CL31B475KBHVPJ*,SMSNG",DNP,1.0. Basis Connector,EUR,
C1510,Samsung,CL31B475KBHVPJ*,"CAP CE ST,4.7uF,10%,50V,X7R,1206,CL31B475KBHVPJ*,SMSNG",DNP,1.0. Basis Connector,EUR,
C1511,Samsung,CL31B475KBHVPJ*,"CAP CE ST,4.7uF,10%,50V,X7R,1206,CL31B475KBHVPJ*,SMSNG",DNP,1.0. Basis Connector,EUR,
C1512,Samsung,CL31B475KBHVPJ*,"CAP CE ST,4.7uF,10%,50V,X7R,1206,CL31B475KBHVPJ*,SMSNG",DNP,1.0. Basis Connector,EUR,
C1513,Samsung,CL31B475KBHVPJ*,"CAP CE ST,4.7uF,10%,50V,X7R,1206,CL31B475KBHVPJ*,SMSNG",DNP,1.0. Basis Connector,EUR,
C1514,Samsung,CL31B475KBHVPJ*,"CAP CE ST,4.7uF,10%,50V,X7R,1206,CL31B475KBHVPJ*,SMSNG",DNP,1.0. Basis Connector,EUR,
C1515,Samsung,CL31B475KBHVPJ*,"CAP CE ST,4.7uF,10%,50V,X7R,1206,CL31B475KBHVPJ*,SMSNG",DNP,1.0. Basis Connector,EUR,
C1516,Samsung,CL31B475KBHVPJ*,"CAP CE ST,4.7uF,10%,50V,X7R,1206,CL31B475KBHVPJ*,SMSNG",DNP,1.0. Basis Connector,EUR,
C1517,Samsung,CL31B475KBHVPJ*,"CAP CE ST,4.7uF,10%,50V,X7R,1206,CL31B475KBHVPJ*,SMSNG",DNP,1.0. Basis Connector,EUR,
D24,Nexperia,PESD2IVN24-T,"DIO ESD BI,24Vrw,25.5Vbrmin,42Vcl@3.5A,17pF,30kV,2x,PESD2IVN24-T,SOT23,NXPRIA",DNP,1.0. Basis Connector,EUR,
D25,Nexperia,PESD2IVN24-T,"DIO ESD BI,24Vrw,25.5Vbrmin,42Vcl@3.5A,17pF,30kV,2x,PESD2IVN24-T,SOT23,NXPRIA",DNP,1.0. Basis Connector,EUR,
D26,Nexperia,PESD2IVN24-T,"DIO ESD BI,24Vrw,25.5Vbrmin,42Vcl@3.5A,17pF,30kV,2x,PESD2IVN24-T,SOT23,NXPRIA",DNP,1.0. Basis Connector,EUR,
D27,Nexperia,PESD2IVN24-T,"DIO ESD BI,24Vrw,25.5Vbrmin,42Vcl@3.5A,17pF,30kV,2x,PESD2IVN24-T,SOT23,NXPRIA",DNP,1.0. Basis Connector,EUR,
D28,Nexperia,PESD2IVN24-T,"DIO ESD BI,24Vrw,25.5Vbrmin,42Vcl@3.5A,17pF,30kV,2x,PESD2IVN24-T,SOT23,NXPRIA",DNP,1.0. Basis Connector,EUR,
D33,Nexperia,PESD2IVN24-T,"DIO ESD BI,24Vrw,25.5Vbrmin,42Vcl@3.5A,17pF,30kV,2x,PESD2IVN24-T,SOT23,NXPRIA",DNP,1.0. Basis Connector,EUR,
D34,Nexperia,PESD2IVN24-T,"DIO ESD BI,24Vrw,25.5Vbrmin,42Vcl@3.5A,17pF,30kV,2x,PESD2IVN24-T,SOT23,NXPRIA",DNP,1.0. Basis Connector,EUR,
D35,Nexperia,PESD2IVN24-T,"DIO ESD BI,24Vrw,25.5Vbrmin,42Vcl@3.5A,17pF,30kV,2x,PESD2IVN24-T,SOT23,NXPRIA",DNP,1.0. Basis Connector,EUR,
D36,Nexperia,PESD2IVN24-T,"DIO ESD BI,24Vrw,25.5Vbrmin,42Vcl@3.5A,17pF,30kV,2x,PESD2IVN24-T,SOT23,NXPRIA",DNP,1.0. Basis Connector,EUR,
D113,Nexperia,PESD2ETH1G-T,"DIO ESD BI,24Vrw,@2.3A,2pF,30kV,2x,PESD2ETH1G-T,SOT23,NXPRIA",DNP,1.0. Basis Connector,EUR,
D114,Nexperia,PESD2ETH1G-T,"DIO ESD BI,24Vrw,@2.3A,2pF,30kV,2x,PESD2ETH1G-T,SOT23,NXPRIA",DNP,1.0. Basis Connector,EUR,
P1,MOLEX,,"PCB CONN,HEADER,43 WAY,UNSLD,screwed",,1.0. Basis Connector,USD,
P2,MOLEX,,"PCB CONN,HEADER,45 WAY,UNSLD,screwed",,1.0. Basis Connector,USD,
P3,MOLEX,,"PCB CONN,HEADER,43 WAY,UNSLD,screwed",,1.0. Basis Connector,USD,
P4,MOLEX,,"PCB CONN,HEADER,44 WAY,UNSLD,screwed",,1.0. Basis Connector,USD,
P5,MOLEX,,"PCB CONN,HEADER,44 WAY,UNSLD,screwed",,1.0. Basis Connector,USD,
P6,MOLEX,,"PCB CONN,HEADER,53 WAY,UNSLD,screwed",,1.0. Basis Connector,USD,
P7,,,PLK14.5 HEADER,,1.0. Basis Connector,EUR,
P8,,,PLK14.5 HEADER,,1.0. Basis Connector,EUR,
P9,,,PLK14.5 HEADER,,1.0. Basis Connector,EUR,
R1019,Yageo,AC0805J*-**0RL,"RES JP,0Rohm,2A,0805,AC0805J*-**0RL,YAGEO",DNP,1.0. Basis Connector,EUR,
R1020,Yageo,AC0805J*-**0RL,"RES JP,0Rohm,2A,0805,AC0805J*-**0RL,YAGEO",DNP,1.0. Basis Connector,EUR,
R1021,Yageo,AC0805J*-**0RL,"RES JP,0Rohm,2A,0805,AC0805J*-**0RL,YAGEO",DNP,1.0. Basis Connector,EUR,
R1022,Yageo,AC0805J*-**0RL,"RES JP,0Rohm,2A,0805,AC0805J*-**0RL,YAGEO",DNP,1.0. Basis Connector,EUR,
R1023,Yageo,AC0805J*-**0RL,"RES JP,0Rohm,2A,0805,AC0805J*-**0RL,YAGEO",DNP,1.0. Basis Connector,EUR,
R1024,Yageo,AC0805J*-**0RL,"RES JP,0Rohm,2A,0805,AC0805J*-**0RL,YAGEO",DNP,1.0. Basis Connector,EUR,
R1025,Yageo,AC0805J*-**0RL,"RES JP,0Rohm,2A,0805,AC0805J*-**0RL,YAGEO",DNP,1.0. Basis Connector,EUR,
R1026,Yageo,AC0805J*-**0RL,"RES JP,0Rohm,2A,0805,AC0805J*-**0RL,YAGEO",DNP,1.0. Basis Connector,EUR,
R1515,KOA,RS73G1JT***2401B,"RES TK,2.4Kohm,0.1%,50ppm/C,1/5W,0603,RS73G1JT***2401B,KOA",,1.0. Basis Connector,EUR,
R1516,KOA,RS73G1JT***2401B,"RES TK,2.4Kohm,0.1%,50ppm/C,1/5W,0603,RS73G1JT***2401B,KOA",,1.0. Basis Connector,EUR,
SH1,WšRTH,3.31E+11,SPRING WURTH,,1.0. Basis Connector,EUR,
SH2,WšRTH,3.31E+11,SPRING WURTH,,1.0. Basis Connector,EUR,
SH3,WšRTH,3.31E+11,SPRING WURTH,,1.0. Basis Connector,EUR,
SH4,WšRTH,3.31E+11,SPRING WURTH,,1.0. Basis Connector,EUR,
SH5,WšRTH,3.31E+11,SPRING WURTH,,1.0. Basis Connector,EUR,
SH6,WšRTH,3.31E+11,SPRING WURTH,,1.0. Basis Connector,EUR,
SH7,WšRTH,3.31E+11,SPRING WURTH,,1.0. Basis Connector,EUR,
SH8,WšRTH,3.31E+11,SPRING WURTH,,1.0. Basis Connector,EUR,
C1423,Murata,GCM155R71C104KA55J,"CAP CE,100nF,10%,16V,X7R,0402,GCM155R71C104KA55*,MUR",,1.1. Basis Debug JTAG / UART,USD,
C1424,Murata,GCM155R71C104KA55J,"CAP CE,100nF,10%,16V,X7R,0402,GCM155R71C104KA55*,MUR",,1.1. Basis Debug JTAG / UART,USD,
C1425,Murata,GCM155R71C104KA55J,"CAP CE,100nF,10%,16V,X7R,0402,GCM155R71C104KA55*,MUR",,1.1. Basis Debug JTAG / UART,USD,
C1426,Murata,GCM155R71C104KA55J,"CAP CE,100nF,10%,16V,X7R,0402,GCM155R71C104KA55*,MUR",,1.1. Basis Debug JTAG / UART,USD,
D195,Nexperia,PESD5V0L5UY,"DIO ESD UNI,5Vrw,6.4Vbrmin,12Vcl@2.5A,19pF,20kV,5x,PESD5V0L5UY,SOT363 (SC88),NXPRIA",,1.1. Basis Debug JTAG / UART,EUR,
D196,Nexperia,PESD5V0L5UY,"DIO ESD UNI,5Vrw,6.4Vbrmin,12Vcl@2.5A,19pF,20kV,5x,PESD5V0L5UY,SOT363 (SC88),NXPRIA",,1.1. Basis Debug JTAG / UART,EUR,
D197,Nexperia,PESD5V0L5UY,"DIO ESD UNI,5Vrw,6.4Vbrmin,12Vcl@2.5A,19pF,20kV,5x,PESD5V0L5UY,SOT363 (SC88),NXPRIA",,1.1. Basis Debug JTAG / UART,EUR,
D198,Nexperia,PESD5V0L5UY,"DIO ESD UNI,5Vrw,6.4Vbrmin,12Vcl@2.5A,19pF,20kV,5x,PESD5V0L5UY,SOT363 (SC88),NXPRIA",,1.1. Basis Debug JTAG / UART,EUR,
D199,Nexperia,PESD5V0L5UY,"DIO ESD UNI,5Vrw,6.4Vbrmin,12Vcl@2.5A,19pF,20kV,5x,PESD5V0L5UY,SOT363 (SC88),NXPRIA",,1.1. Basis Debug JTAG / UART,EUR,
R199,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R200,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R201,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R264,Yageo,AC0402F*-*W33RL,"RES TK,33Rohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W33RL,YAGEO",DNP,1.1. Basis Debug JTAG / UART,EUR,
R265,Yageo,AC0402F*-*W33RL,"RES TK,33Rohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W33RL,YAGEO",DNP,1.1. Basis Debug JTAG / UART,EUR,
R1622,Yageo,AC0402J*-**0RL,"RES JP,0Rohm,1A,0402,AC0402J*-**0RL,YAGEO",DNP,1.1. Basis Debug JTAG / UART,EUR,
R1623,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1624,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1625,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1626,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1627,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1628,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1629,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1630,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1631,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1632,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1633,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1634,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1635,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1636,Yageo,AC0603F*-**10RL,"RES TK,10Rohm,1%,200ppm/C,1/10W,0603,AC0603F*-**10RL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1637,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1641,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1642,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1643,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1644,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1645,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1646,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1647,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1648,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1649,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1651,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1652,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1653,Yageo,AC0402F*-*W10KL,"RES TK,10Kohm,1%,100ppm/C,1/8W,0402,AC0402F*-*W10KL,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1655,YAGEO Corporation,AC0402JR-7W4K7L,"RES TK,4.7Kohm,5%,100ppm/C,1/8W,0402,AC0402J*-*W4K7L,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1656,YAGEO Corporation,AC0402JR-7W4K7L,"RES TK,4.7Kohm,5%,100ppm/C,1/8W,0402,AC0402J*-*W4K7L,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1657,YAGEO Corporation,AC0402JR-7W4K7L,"RES TK,4.7Kohm,5%,100ppm/C,1/8W,0402,AC0402J*-*W4K7L,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
R1658,YAGEO Corporation,AC0402JR-7W4K7L,"RES TK,4.7Kohm,5%,100ppm/C,1/8W,0402,AC0402J*-*W4K7L,YAGEO",,1.1. Basis Debug JTAG / UART,EUR,
U122,Osram Opto Semiconductors,KO DELPS1.22-UGVI-24-H3Q4,"LED,ORG,606nm,30mA,TOPLED,KO DELPS1.22-UGVI-24-H3Q4,OSRAM",,1.1. Basis Debug JTAG / UART,EUR,
U123,Osram Opto Semiconductors,KO DELPS1.22-UGVI-24-H3Q4,"LED,ORG,606nm,30mA,TOPLED,KO DELPS1.22-UGVI-24-H3Q4,OSRAM",,1.1. Basis Debug JTAG / UART,EUR,
U124,Osram Opto Semiconductors,KO DELPS1.22-UGVI-24-H3Q4,"LED,ORG,606nm,30mA,TOPLED,KO DELPS1.22-UGVI-24-H3Q4,OSRAM",,1.1. Basis Debug JTAG / UART,EUR,
U125,Osram Opto Semiconductors,KO DELPS1.22-UGVI-24-H3Q4,"LED,ORG,606nm,30mA,TOPLED,KO DELPS1.22-UGVI-24-H3Q4,OSRAM",,1.1. Basis Debug JTAG / UART,EUR,
W1,,,"Edge-Connector at PCB, no Component, just SMD-Edge-Connector-Pins",,1.1. Basis Debug JTAG / UART,EUR,
C27,Murata,GCM155C71A105KE38*,"CAP CE,1uF,10%,10V,X7S,0402,GCM155C71A105KE38*,MUR",,1.2. Basis Debug Ethernet,JPY,
C28,Murata,GCM155C71A105KE38*,"CAP CE,1uF,10%,10V,X7S,0402,GCM155C71A105KE38*,MUR",,1.2. Basis Debug Ethernet,JPY,
C69,Murata,GCM155C71A105KE38*,"CAP CE,1uF,10%,10V,X7S,0402,GCM155C71A105KE38*,MUR",,1.2. Basis Debug Ethernet,JPY,
C170,Samsung,CL21B106KPY6PN*,"CAP CE,10uF,10%,10V,X7R,0805,CL21B106KPY6PN*,SMSNG",,1.2. Basis Debug Ethernet,EUR,
C171,Samsung,CL21B106KPY6PN*,"CAP CE,10uF,10%,10V,X7R,0805,CL21B106KPY6PN*,SMSNG",,1.2. Basis Debug Ethernet,EUR,
C172,Samsung,CL21B106KPY6PN*,"CAP CE,10uF,10%,10V,X7R,0805,CL21B106KPY6PN*,SMSNG",,1.2. Basis Debug Ethernet,EUR,
C173,Samsung,CL21B106KPY6PN*,"CAP CE,10uF,10%,10V,X7R,0805,CL21B106KPY6PN*,SMSNG",,1.2. Basis Debug Ethernet,EUR,
C175,Murata,GCM155C71A105KE38*,"CAP CE,1uF,10%,10V,X7S,0402,GCM155C71A105KE38*,MUR",,1.2. Basis Debug Ethernet,JPY,
C202,Murata,GCM155C71A105KE38*,"CAP CE,1uF,10%,10V,X7S,0402,GCM155C71A105KE38*,MUR",,1.2. Basis Debug Ethernet,JPY,
C203,Murata,GCM155C71A105KE38*,"CAP CE,1uF,10%,10V,X7S,0402,GCM155C71A105KE38*,MUR",,1.2. Basis Debug Ethernet,JPY,
C204,Murata,GCM155C71A105KE38*,"CAP CE,1uF,10%,10V,X7S,0402,GCM155C71A105KE38*,MUR",,1.2. Basis Debug Ethernet,JPY,
C205,Murata,GCM155C71A105KE38*,"CAP CE,1uF,10%,10V,X7S,0402,GCM155C71A105KE38*,MUR",,1.2. Basis Debug Ethernet,JPY,
C206,Murata,GCM155C71A105KE38*,"CAP CE,1uF,10%,10V,X7S,0402,GCM155C71A105KE38*,MUR",,1.2. Basis Debug Ethernet,JPY,
C211,Murata,GCM155C71A105KE38*,"CAP CE,1uF,10%,10V,X7S,0402,GCM155C71A105KE38*,MUR",,1.2. Basis Debug Ethernet,JPY,
C212,Murata,GCM155C71A105KE38*,"CAP CE,1uF,10%,10V,X7S,0402,GCM155C71A105KE38*,MUR",,1.2. Basis Debug Ethernet,JPY,
C213,Murata,GCM155C71A105KE38*,"CAP CE,1uF,10%,10V,X7S,0402,GCM155C71A105KE38*,MUR",,1.2. Basis Debug Ethernet,JPY,
C214,Samwha,CQ1608X7R104K101N*B,"CAP CE,100nF,10%,100V,X7R,0603,CQ1608X7R104K101N*B,SAMWH",,1.2. Basis Debug Ethernet,EUR,
C215,Samwha,CQ1608X7R104K101N*B,"CAP CE,100nF,10%,100V,X7R,0603,CQ1608X7R104K101N*B,SAMWH",,1.2. Basis Debug Ethernet,EUR,
C216,Kemet,C0603C472K1RAC3***,"CAP CE,4.7nF,10%,100V,X7R,0603,C0603C472K1RAC3***,KEMET",,1.2. Basis Debug Ethernet,USD,
C218,Samsung,CL03Y104KPS6PN*,"CAP CE,100nF,10%,10V,X7S,0201,CL03Y104KPS6PN*,SMSNG",,1.2. Basis Debug Ethernet,EUR,
C219,Samsung,CL03Y104KPS6PN*,"CAP CE,100nF,10%,10V,X7S,0201,CL03Y104KPS6PN*,SMSNG",,1.2. Basis Debug Ethernet,EUR,
C318,Murata,GCM155R71C104KA55J,"CAP CE,100nF,10%,16V,X7R,0402,GCM155R71C104KA55*,MUR",,1.2. Basis Debug Ethernet,USD,
C319,Murata,GCM155R71C104KA55J,"CAP CE,100nF,10%,16V,X7R,0402,GCM155R71C104KA55*,MUR",,1.2. Basis Debug Ethernet,USD,
C320,Murata,GCM155R71C104KA55J,"CAP CE,100nF,10%,16V,X7R,0402,GCM155R71C104KA55*,MUR",,1.2. Basis Debug Ethernet,USD,
C321,Murata,GCM155R71C104KA55J,"CAP CE,100nF,10%,16V,X7R,0402,GCM155R71C104KA55*,MUR",,1.2. Basis Debug Ethernet,USD,
C322,Murata,GCM155R71C104KA55J,"CAP CE,100nF,10%,16V,X7R,0402,GCM155R71C104KA55*,MUR",,1.2. Basis Debug Ethernet,USD,
C323,Murata,GCM155R71C104KA55J,"CAP CE,100nF,10%,16V,X7R,0402,GCM155R71C104KA55*,MUR",,1.2. Basis Debug Ethernet,USD,
C324,Murata,GCM155R71C104KA55J,"CAP CE,100nF,10%,16V,X7R,0402,GCM155R71C104KA55*,MUR",,1.2. Basis Debug Ethernet,USD,
C325,Murata,GCM155R71C104KA55J,"CAP CE,100nF,10%,16V,X7R,0402,GCM155R71C104KA55*,MUR",,1.2. Basis Debug Ethernet,USD,
C326,Murata,GCM155R71C104KA55J,"CAP CE,100nF,10%,16V,X7R,0402,GCM155R71C104KA55*,MUR",,1.2. Basis Debug Ethernet,USD,
C337,Murata Manufacturing Co Ltd,GCM1555C1H8R2BA16D,"CAP CE,8.2pF,+/-0.1pF,50V,C0G,0402,GCM1555C1H8R2BA16*,MUR",,1.2. Basis Debug Ethernet,JPY,
C338,Murata Manufacturing Co Ltd,GCM1555C1H8R2BA16D,"CAP CE,8.2pF,+/-0.1pF,50V,C0G,0402,GCM1555C1H8R2BA16*,MUR",,1.2. Basis Debug Ethernet,JPY,
D157,Nexperia,PESD2ETH1G-T,"DIO ESD BI,24Vrw,@2.3A,2pF,30kV,2x,PESD2ETH1G-T,SOT23,NXPRIA",,1.2. Basis Debug Ethernet,EUR,
